doc,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19
Xu et al. - 2017 - Self-Taught Convolutional Neural Networks for Shor-258.txt,-14.630892,-20.958933,-21.414013,17.221613,7.151386,3.1379285,10.541497,-14.089083,19.822962,12.097303,-23.230839,9.477248,-26.627346,-6.0268087,5.578782,-9.570918,-2.353531,-5.6679683,14.74876,-7.15639
Cai and He - 2005 - Orthogonal locality preserving indexing.txt,-13.276562,-16.262417,-15.19004,11.139987,11.278014,2.9980147,9.589995,-15.0296135,18.79117,7.974594,-22.103716,4.5574307,-25.350874,-4.2910914,1.1534249,-7.9978867,-3.15049,0.1466702,11.328703,-7.421035
Torborg and Kajiya - 1996 - Talisman Commodity Realtime 3D Graphics for the P.txt,-13.835061,-20.233177,-22.858168,14.649575,12.514232,1.7995795,19.055773,-13.8269205,9.503024,15.532429,-24.012793,2.0529552,-27.581635,-4.0898423,6.8283906,-6.601981,1.4468836,-6.420207,20.293848,-3.803367
Amiri and Shobi - 2017 - A Link Prediction Strategy for Personalized Tweet .txt,-9.637367,-15.005447,-17.141886,10.935306,5.6011553,4.533507,5.0299864,-11.709214,11.288896,10.809768,-13.466678,5.4756603,-15.875098,-3.7309222,3.5614376,-7.2084317,-2.7694955,-9.552404,11.744701,-4.8314657
Eibl - 2002 - DEViD A Media Design and Software Ergonomics Inte.txt,-4.7197785,-8.057258,-12.592829,13.352416,12.823185,7.7054954,13.67954,-14.369699,4.464087,6.210273,-19.167894,3.4822774,-19.56894,-3.287028,0.97632986,-9.169225,-0.74134564,-8.413185,12.138198,-1.0836418
Thomas et al. - 2000 - Human—Computer Interaction with Global Information.txt,-12.118054,-16.196362,-16.270863,19.543196,18.189198,0.82735157,14.518443,-12.36224,11.351734,11.766715,-20.181284,0.16561429,-28.430197,-0.8018125,3.594464,-10.033939,3.491636,-7.648892,17.743454,-3.4023578
Herman et al. - 2000 - Graph visualization and navigation in information .txt,-9.0170555,-9.239704,-12.269426,13.904855,10.45784,2.5032613,14.7362385,-12.0573225,4.70011,5.773575,-16.46697,1.7938799,-20.416145,-2.7758188,1.4547168,-4.5284486,2.545462,-2.613318,13.116011,-0.53046626
Dubin - 1996 - Structure in Document Browsing Spaces.txt,-9.565908,-12.396669,-15.937646,17.036732,13.23175,8.151916,10.817869,-15.744649,9.819244,5.7635303,-21.89532,3.7906437,-23.56689,-3.8845472,-4.9333544,-8.007389,-0.0274435,-2.3109038,15.365797,-2.3796363
Lu et al. - 2019 - MLPV Text Representation of Scientific Papers Bas.txt,-10.621515,-13.723438,-14.082693,13.333775,7.0941014,0.32005268,9.932481,-13.701991,14.121321,6.2814574,-15.790783,4.308834,-20.187447,0.5609173,5.185492,-10.337061,-0.117343575,-7.7328544,9.722781,-2.4062328
West et al. - 2009 - Sensate abstraction hybrid strategies for multi-d-236.txt,-10.033215,-14.1573105,-21.667282,9.329337,4.7299957,6.252978,9.665632,-8.094579,5.164457,10.875398,-21.4262,-0.95007056,-22.926891,-2.5880945,7.5994625,-2.1327727,1.2440674,-5.1642795,17.599392,-4.614108
West et al. - 2009 - Sensate abstraction hybrid strategies for multi-d.txt,-9.3909645,-13.505072,-21.766409,8.225715,4.4914083,5.4693503,10.705981,-6.9678655,3.7618406,10.915862,-22.549355,-3.2440495,-22.745588,-4.264022,5.1525626,-0.52071446,0.18801649,-5.33701,19.952244,-6.7789965
Assa et al. - 1997 - Displaying data in multidimensional relevance spac-243.txt,-4.664751,-7.5843296,-10.690627,7.1355147,8.412742,5.2888603,7.4937425,-10.336915,4.812833,4.6235847,-12.890896,-0.41306603,-15.484223,-3.515745,-1.2285248,1.146097,0.028953567,0.31172493,9.678527,-2.2793272
Chan et al. - 2018 - t-SNE-CUDA GPU-Accelerated t-SNE and its Applicat.txt,-9.576664,-14.789555,-15.095949,11.614386,8.248225,-1.5201949,10.826346,-8.936849,12.279244,10.002664,-19.26511,0.77461666,-22.936764,-5.3437347,4.114685,-4.355672,-1.5994673,-4.7031503,14.022327,-7.4099817
Cai et al. - 2005 - Document clustering using locality preserving inde.txt,-11.855747,-13.422265,-11.50115,10.541811,9.842862,1.9019446,8.804166,-13.044331,16.412643,6.79408,-19.96623,4.8327656,-23.57743,-4.3892493,2.7053294,-4.667907,-1.8393013,-1.791367,5.3464794,-7.851269
Swanson - 2007 - Second Life A Science Library Presence in Virtual.txt,-2.358068,-9.159836,-13.43027,9.756338,8.768167,5.6575255,9.3580675,-10.808353,5.924095,4.568828,-14.875826,-1.6819996,-13.773041,-1.9055033,0.3706063,-5.8189464,-3.583043,-3.1848617,10.518203,-1.758449
Andrews and Fox - 2007 - Recent Developments in Document Clustering.txt,-9.7887945,-16.757019,-16.546774,16.221077,7.771902,4.8472967,12.361343,-13.403343,12.173805,5.379187,-17.604053,4.1653724,-22.26815,-6.022966,5.0030355,-2.9935505,-0.3902435,-4.427351,10.288604,-2.926755
Shah and Luo - 2018 - Biomedical Document Clustering and Visualization b.txt,-12.439108,-15.932361,-18.65429,14.320345,9.618172,2.470927,10.899088,-14.97545,15.994098,11.057468,-18.862247,4.555843,-25.204592,1.5737382,1.9409108,-4.879425,-1.2546084,-6.227244,15.198407,-2.009012
Park et al. - 2000 - Lessons learned from employing multiple perspectiv.txt,-2.0408134,-10.849698,-16.210512,6.470278,13.365822,5.2373366,11.527908,-12.3692665,10.65928,10.6223545,-17.38216,-5.406433,-17.84262,-8.146912,1.233957,-5.088373,-3.7190216,-2.8307278,12.83442,-5.8650837
Merchant et al. - 2014 - Effectiveness of virtual reality-based instruction.txt,-7.2197223,-9.373241,-15.516768,10.485331,9.011497,11.018169,10.195635,-10.706156,3.959881,7.607811,-16.286472,-1.7445834,-16.046608,-3.4309065,3.691479,-12.66044,-2.2443762,-9.471999,14.113547,-3.867507
Aleven and Koedinger - 2002 - An effective metacognitive strategy learning by d.txt,-10.2905,-17.150057,-19.84893,10.130298,7.8614597,13.751688,12.4958725,-12.901118,2.5604465,8.357693,-19.468584,6.3637376,-16.682392,-8.965376,6.075396,-11.7525215,0.80349344,-8.586298,22.28754,0.32337287
Maaten and Hinton - 2008 - Visualizing Data using t-SNE.txt,-11.011165,-13.084497,-14.398168,9.833365,9.696574,-0.5827555,11.77577,-6.8134365,10.162411,8.702429,-20.856018,3.0144794,-21.985321,-4.4162893,3.574072,-2.8778527,-0.2835245,-3.8447902,12.713861,-6.130341
10.1002@aris.1440370106.txt,-7.776775,-10.446841,-12.45966,14.676511,6.595998,4.275715,9.786106,-11.5035715,5.494643,3.0724022,-20.18507,3.4584508,-23.954544,-0.293338,1.1099123,-4.6396656,-0.9150868,-3.8257704,12.221206,0.21095228
Ando et al. - 2000 - Multi-document summarization by visualizing topica.txt,-11.713313,-15.445724,-16.855814,16.61755,12.2286215,4.2732687,12.447425,-10.514202,12.160814,8.3722725,-21.398567,2.92604,-21.80873,-3.652716,2.9265778,-7.309727,1.2732122,-6.5185385,14.057588,-4.6433787
Wang et al. - 2008 - Using Wikipedia for Co-clustering Based Cross-Doma.txt,-14.262673,-20.6377,-19.620045,16.57906,9.172074,3.3832216,10.409805,-17.421558,15.099464,11.95372,-18.739792,7.4517355,-24.166328,-1.986726,4.731081,-8.207728,0.5131339,-6.1343417,15.462567,-5.80586
Rüger - 2006 - Putting the User in the Loop Visual Resource Disc.txt,-10.637217,-12.646682,-18.539778,12.47,9.554586,6.190646,11.007271,-12.065268,12.663772,8.588195,-19.007193,0.4537842,-22.58615,-0.56525415,2.6155682,-6.221354,-0.48352107,-5.3469515,14.265451,-4.990627
Leouski and Allan - 1998 - Evaluating a Visual Navigation System for a Digita.txt,-6.6073284,-12.651945,-13.870394,12.141389,13.486243,6.8487434,13.46728,-15.229034,10.479203,8.285994,-23.305502,1.9949379,-23.016342,-4.9401174,0.95613456,-5.564214,-2.1701312,-0.9584091,15.422007,-6.0061646
00000078.txt,-10.303535,-15.468335,-19.33093,7.752776,7.9752216,13.96416,11.908066,-10.567456,0.678308,9.487552,-18.046026,5.6861477,-17.005177,-7.75053,5.425153,-12.816518,0.20098451,-7.5122747,20.619059,0.35981828
Chen - 1999 - Visualising semantic spaces and author co-citation-276.txt,-9.576223,-14.769952,-17.732412,18.390858,16.260284,5.2536306,15.911879,-14.381053,11.535145,4.920993,-27.283546,2.653456,-29.472652,-1.2017621,-2.0813138,-12.561641,-0.9828599,-2.9997978,18.667072,-4.9622645
Fooladgar and Duwig - 2018 - A new post-processing technique for analyzing high.txt,-10.5077,-15.792258,-13.752266,10.2106085,5.8791714,2.434784,10.629268,-9.361734,11.357215,8.850441,-21.041737,-0.83317786,-24.802227,-0.22158419,7.8503146,-4.969031,1.9669762,-6.4085712,12.360113,-7.187859
Ladner et al. - 2000 - 3D mapping of an interactive synthetic environment.txt,-2.3916025,-7.653351,-11.974565,9.150531,10.718313,0.6732516,11.536636,-9.108661,7.540882,8.059321,-16.827318,-2.5194569,-17.349348,-0.5634991,4.072535,-4.3570695,-1.9312698,-2.739354,9.420495,-6.1779985
Bostock et al. - 2011 - D³ Data-Driven Documents.txt,-12.707205,-19.076275,-19.56689,18.914194,16.021477,6.2929606,17.072527,-14.939337,9.245562,8.479044,-26.143295,3.7507224,-27.456959,-3.1152432,6.4536724,-8.015874,1.429252,-4.264536,18.777832,-4.3103147
Ando et al. - 2005 - Visualization-enabled multi-document summarization.txt,-6.8447485,-11.667035,-13.000509,17.786415,12.355731,6.509032,12.244444,-14.328746,11.556896,8.03021,-20.212564,1.5603323,-24.067596,-1.624369,2.8551242,-10.104616,-2.372007,-3.7702746,10.563502,-4.5462575
Small - 1999 - Visualizing Science by Citation Mapping.txt,-12.275611,-15.493895,-14.56867,18.654495,9.105303,5.0064807,12.726432,-14.141376,7.6360784,7.3536305,-29.429264,2.232206,-27.894892,0.22280492,2.3629248,-6.717034,-0.5648411,-2.5343924,15.869202,-2.7979429
Holloway et al. - 2007 - Analyzing and visualizing the semantic coverage of-256.txt,-7.644041,-13.963703,-14.853202,14.480624,7.161268,1.0652856,8.673273,-14.98198,10.505776,10.3437605,-19.259918,0.37152585,-23.706867,0.44430014,5.1705565,-4.481963,-1.9419833,-4.7980747,11.201748,-1.4665496
Price - 1965 - Networks of Scientific Papers.txt,-7.2602415,-11.732259,-7.6039906,13.742992,2.4098706,-0.953054,8.7589855,-9.846706,6.5492535,-0.55533314,-20.088284,-1.1599535,-23.14324,0.8740388,3.0625913,-10.65167,-1.3780421,-4.7408676,7.1945753,3.1332638
Liu and Theodoropoulos - 2009 - An approach for parallel interest matching in dist-208.txt,-6.3416467,-15.720337,-14.450754,0.7811202,9.825892,-2.5475225,11.572075,-10.387363,10.181868,10.222534,-12.246382,1.285205,-14.336768,-11.019102,1.055843,-2.2888808,3.8281472,-3.1139557,13.688782,-0.63442457
Lau and Baldwin - 2016 - An Empirical Evaluation of doc2vec with Practical -230.txt,-13.38916,-19.83109,-18.314978,17.863102,14.403745,2.3602917,7.4731913,-12.647554,18.505136,9.882679,-20.607325,6.480221,-25.591457,-2.0007975,3.6266427,-15.336664,-3.749218,-7.138393,13.931761,-5.198045
Chen et al. - 2009 - Visual analysis of dimensionality reduction for ex.txt,-6.940568,-9.222232,-16.61119,7.2792807,8.847766,2.9958978,11.5754,-8.884814,6.8760724,11.755841,-17.845438,-2.7268846,-18.099382,-3.9173238,4.4309335,-4.460723,-1.3515093,-4.276419,12.865379,-5.8543506
Van Berendonck and Jacobs - 2003 - Bubbleworld A New Visual Information Retrieval Te.txt,-3.7402701,-9.443377,-11.77201,7.9104495,9.275166,5.726857,8.890938,-13.182593,7.6208997,4.586229,-12.807418,2.0313294,-13.33836,-2.9937162,0.17363797,-7.562263,0.06790591,-3.294053,9.861899,-2.8608365
Krohn - 1996 - VINETA navigation through virtual information spa.txt,-6.132612,-11.520287,-11.284317,11.994919,12.136899,5.059945,9.837678,-13.578656,9.338669,6.35822,-17.965277,-1.1261084,-19.48698,-1.4354833,0.4121623,-6.8834205,-1.9897248,-1.3901873,11.007453,-3.9945385
Hemmje et al. - 1994 - LyberWorld — A Visualization User Interface Suppor.txt,-6.195412,-11.312165,-14.628656,13.629247,11.465915,4.6859245,11.304739,-11.14118,9.601384,6.13216,-19.24767,2.509936,-20.897614,-1.900183,1.5020406,-5.751839,-1.3222713,-3.1119807,11.60422,-1.7550337
Carpineto et al. - 2009 - A survey of Web clustering engines.txt,-6.241611,-13.178068,-14.292115,14.275207,7.141582,5.3931704,11.018164,-13.257581,8.672168,5.6919465,-15.3977995,2.395699,-20.120033,-0.5146767,4.423548,-5.7267704,1.6718657,-4.7329283,10.697716,-4.088416
"Moser et al. - 2015 - Place cells, grid cells, and memory.txt",-13.1099415,-15.946402,-20.84398,15.193275,9.463044,-0.44245648,13.190738,-10.261424,13.76394,10.961805,-27.170483,-0.9431646,-30.028778,-2.8329566,4.632782,-11.752802,-0.7550374,-8.106228,18.455769,-6.56345
Steinley - 2006 - K-means clustering A half-century synthesis.txt,-9.851823,-10.414295,-9.788309,15.610799,6.970679,7.997842,14.17211,-14.677626,6.179125,8.800487,-19.248703,0.72839385,-24.26772,-1.4224086,5.027598,-4.3560314,1.5917665,-5.1812844,10.137894,-2.2339659
kelly2017.txt,-7.769166,-9.391805,-10.215059,7.6110544,10.68505,3.6712565,12.103961,-8.650402,7.2282896,11.066471,-16.885738,-9.016128,-19.770655,-6.7474484,2.1502447,-9.256531,-0.040842623,-7.637415,12.818327,-3.8382556
Tanabe et al. - 2018 - An Approach to Estimating Cited Sentences in Acade.txt,-6.9983726,-14.81013,-13.342909,13.767637,5.227932,2.568826,3.545272,-13.734325,11.089352,5.2803693,-11.323612,3.0854332,-12.559319,-1.4665294,1.2719344,-8.99361,0.057684228,-6.3422313,8.780012,0.035735097
Kelly et al. - 2017 - Perceived Space in the HTC Vive.txt,-7.746792,-9.950715,-9.497073,8.016666,11.102873,4.403157,12.768902,-8.039698,8.875117,11.669687,-18.997063,-11.127482,-20.684591,-6.230968,3.470373,-9.126416,0.57752866,-8.562494,12.911508,-3.8447826
Omizo and Hart-Davidson - 2017 - Digging text viz an archaeological review of ACM .txt,-5.4796996,-6.7013173,-11.108311,15.305503,9.6081295,4.3376946,10.761712,-11.905407,10.076906,8.979941,-15.863853,-1.3374892,-18.333145,-1.0921175,1.8281865,-6.846168,-1.5844743,-3.1782534,10.390397,-2.2646208
Griffith et al. - 2006 - A Reprocessing Tool for Quantitative Data Analysis.txt,-3.9856243,-8.233887,-10.364484,9.742418,9.085479,-0.39479503,10.982819,-8.815334,6.2073603,10.672414,-14.997416,-3.9705026,-15.411211,-0.8189833,6.1574535,-1.3005856,0.5927413,-4.9451275,8.504412,-5.2690153
